Company_ID,MDnA_Text,Risk_Disclosure_Text,Chairman_Message,Financial_Term,Governance_Term,Sentiment_Word,Risk_Term,Strategy_Term,Fraud_Label
1,The company reported stable performance this year.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,assets,board,declining,uncertain,diversification,No Fraud
2,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,cash flow,oversight,stable,low risk,expansion,Fraud
3,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",assets,compliance,weak,critical,expansion,No Fraud
4,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",assets,audit,volatile,high risk,innovation,No Fraud
5,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,assets,board,stable,volatile,innovation,No Fraud
6,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",profit,oversight,weak,critical,innovation,No Fraud
7,The company reported stable performance this year.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,assets,board,weak,high risk,diversification,No Fraud
8,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,profit,oversight,declining,critical,expansion,No Fraud
9,The company reported stable performance this year.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",profit,oversight,strong,medium risk,cost-cutting,No Fraud
10,Unexpected expenses impacted operational margins.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,liabilities,committee,declining,critical,diversification,Fraud
11,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,revenue,board,improving,volatile,expansion,No Fraud
12,The company reported stable performance this year.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,cash flow,board,weak,high risk,diversification,No Fraud
13,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",revenue,audit,volatile,medium risk,expansion,Fraud
14,The company reported stable performance this year.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,liabilities,oversight,declining,high risk,cost-cutting,No Fraud
15,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,We remain committed to transparency and value creation.,debt,oversight,strong,low risk,expansion,Fraud
16,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,We remain committed to transparency and value creation.,profit,committee,declining,uncertain,diversification,No Fraud
17,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,Future outlook is cautiously optimistic.,assets,board,improving,medium risk,cost-cutting,No Fraud
18,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,assets,audit,declining,volatile,restructuring,No Fraud
19,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,Future outlook is cautiously optimistic.,debt,board,declining,uncertain,diversification,No Fraud
20,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,liabilities,compliance,declining,high risk,diversification,No Fraud
21,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,liabilities,audit,declining,medium risk,innovation,No Fraud
22,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,cash flow,compliance,strong,uncertain,restructuring,No Fraud
23,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,profit,audit,volatile,uncertain,expansion,No Fraud
24,Revenue growth achieved through strategic initiatives.,Operational and compliance risks may affect outcomes.,We remain committed to transparency and value creation.,debt,committee,declining,critical,diversification,No Fraud
25,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",debt,oversight,stable,high risk,expansion,Fraud
26,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,debt,board,volatile,low risk,innovation,Fraud
27,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,profit,audit,strong,uncertain,expansion,No Fraud
28,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,profit,oversight,improving,uncertain,restructuring,Fraud
29,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,profit,oversight,strong,critical,diversification,No Fraud
30,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,profit,compliance,strong,volatile,cost-cutting,No Fraud
31,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,revenue,committee,volatile,uncertain,restructuring,No Fraud
32,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,debt,committee,weak,high risk,expansion,No Fraud
33,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,Resilience guided our strategy through challenges.,revenue,compliance,weak,high risk,expansion,Fraud
34,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,cash flow,oversight,stable,medium risk,cost-cutting,No Fraud
35,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,debt,compliance,weak,critical,cost-cutting,No Fraud
36,The company reported stable performance this year.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,profit,oversight,weak,high risk,restructuring,No Fraud
37,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,We remain committed to transparency and value creation.,liabilities,committee,strong,uncertain,innovation,No Fraud
38,Management highlighted governance improvements.,Operational and compliance risks may affect outcomes.,Future outlook is cautiously optimistic.,liabilities,oversight,strong,uncertain,cost-cutting,No Fraud
39,The company reported stable performance this year.,Debt obligations create financial uncertainty.,"Acknowledging setbacks, corrective actions implemented.",profit,oversight,volatile,medium risk,cost-cutting,No Fraud
40,Liquidity pressure due to increased operational costs.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,profit,committee,strong,uncertain,diversification,No Fraud
41,Liquidity pressure due to increased operational costs.,Internal control weaknesses exist in reporting.,Resilience guided our strategy through challenges.,revenue,compliance,strong,low risk,innovation,No Fraud
42,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,We remain committed to transparency and value creation.,profit,audit,stable,high risk,cost-cutting,No Fraud
43,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",debt,oversight,weak,low risk,innovation,No Fraud
44,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,assets,board,declining,low risk,cost-cutting,No Fraud
45,Management highlighted governance improvements.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,debt,board,declining,volatile,innovation,No Fraud
46,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,"Acknowledging setbacks, corrective actions implemented.",liabilities,compliance,strong,uncertain,diversification,Fraud
47,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",cash flow,oversight,weak,medium risk,cost-cutting,No Fraud
48,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,"Acknowledging setbacks, corrective actions implemented.",debt,oversight,strong,critical,cost-cutting,No Fraud
49,The company reported stable performance this year.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,profit,audit,declining,critical,expansion,No Fraud
50,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,debt,audit,weak,uncertain,restructuring,No Fraud
